Inst_a,Inst_b,Ctrl_type,Ctrl_param,Distance
seed4,seed4,r,1,-0.9455170586602759
seed4,seed4,r,2,-0.9828225249912824
seed4,seed4,r,3,-0.9367937405797765
seed4,seed4,r,4,-0.9570017326086605
seed4,seed4,r,5,-0.899578455882876
seed4,seed4,r,6,-0.9156123514113652
seed4,seed4,r,7,-0.8908678379744265
seed4,seed4,r,8,-0.8315218007362288
seed4,seed4,r,9,-0.9790460958167908
seed4,seed4,t,0,-0.9191471848154362
seed4,seed4,t,1,-1.00145419207268
seed4,seed4,t,2,-0.934725818917868
seed4,seed4,t,3,-0.9707930616289294
seed4,seed4,t,4,-0.9689556263753697
seed4,seed4,t,5,-0.9977136356810613
seed4,seed4,t,6,-0.9174791662877319
seed4,seed4,t,7,-0.9959810598066179
seed4,seed4,t,8,-0.9484532328013621
seed4,seed4,t,9,-0.9608757443169255
