name best norm two_term
circuit_12_d198 5892.451976422574 15279.703388397196 7228.773465715737
city_9_fnl4461_r 26554.05087236794 74031.53363772211 29454.549118906063
city_7_gr137 251.69308219614834 294.60170927993397 559.9289661886817
gaussian_10 8.91670336959902 21.931288060446718 17.625511753476047
gaussian_9 9.564111645708609 16.649887441487348 15.287875618568775
circuit_19_pr439 35145.6570176364 40786.59779914076 90540.30163371017
circuit_8_pcb1173 6306.75558890751 7384.010649674863 11242.271735185408
uniform_8 10.53944138667348 21.87176384070467 22.322476728027347
uniform_13 9.621053809467728 20.316261854539352 16.27416321441563
uniform_24 10.461257553504677 18.261314754852783 19.70461099891526
circuit_7_pr152 37500.60119379369 66621.97153068091 60008.866703571235
gaussian_4 9.625527128183277 17.231393561728805 21.111493022261037
