inst_a inst_b best mapping geometric deepwalk node2vec struc2vec dummy heuristic_dbl_mst heuristic_far_ins heuristic_near_ins heuristic_near_neigh 
circuit_13_pcb442 circuit_13_pcb442_t3_#0 9869.959657726318 12942.015461033916 12651.815817099097 20284.495599200254 16251.184422475666 15912.10107156854 16982.974964884168 10860.282884450971 10270.224532839435 11311.251614998335 12337.046529158248 
circuit_13_pcb442 circuit_13_pcb442_r4_#0 9703.146552727141 13225.986563706645 13225.986563706645 20706.827639055806 22613.337246244762 18904.062411950825 24889.80074892945 11412.716731620334 9853.092972615363 10749.94773916036 12010.872092455353 
circuit_13_pcb442 circuit_13_pcb442_t4_#0 9706.411644357484 17315.31760579817 13784.594176380328 21026.08715344722 20242.095377616883 19164.89990294609 22252.64730136374 10937.082269712273 9839.49461670551 10253.000702351568 11094.556256889873 
circuit_13_pcb442 circuit_13_pcb442_r5_#0 9241.593615535197 17523.811361916247 21662.618473013925 18376.402637782718 21817.52644971213 17440.97189561689 23801.94237517803 10415.881890265104 9575.655406217349 9725.40996624716 10736.704054633372 
circuit_13_pcb442 circuit_13_pcb442_t5_#0 8989.398922667291 13355.091949687112 13355.091949687112 26933.208979519357 19586.4555983486 22047.247592774587 27529.48214803136 10436.910762207886 9375.285449229337 9784.303404972776 10690.874546094754 
circuit_13_pcb442 circuit_13_pcb442_r6_#0 8752.76009384687 17875.359186060123 15788.553270501932 26308.361485385136 22730.8954576763 17140.715716949217 21717.663370952116 10155.4299524251 9122.305535783053 8802.914842809101 9977.789089493908 
circuit_13_pcb442 circuit_13_pcb442_t6_#0 8973.411876907534 16197.031550785527 13137.220006122796 18791.032576124446 24394.785927184756 21790.697895717996 21127.914385918848 10860.147145767412 9437.975956228387 9236.734196512252 11419.752760790041 
circuit_13_pcb442 circuit_13_pcb442_r7_#0 8567.52579463851 11928.177905135666 16221.077015040983 20587.37081304514 16320.789419272729 20959.021413581966 16187.169527548867 10207.547707076337 8858.206930692002 8636.99441805354 9986.462464536438 
circuit_13_pcb442 circuit_13_pcb442_t7_#0 8658.919319319679 10508.699972780376 10189.266520257002 20614.358453881894 12407.917919659829 15804.59783851556 17578.960510473877 9974.590856103152 8944.946986645149 9049.06928478859 9637.777807272258 
circuit_13_pcb442 circuit_13_pcb442_r8_#0 8075.853329859413 13896.666718396313 10278.082051124038 18033.161892939046 18358.22788053281 14547.505684432013 14215.061477379433 9041.84872022209 8396.658013351873 8780.418110307774 9053.977646260138 
circuit_13_pcb442 circuit_13_pcb442_t8_#0 8296.988356673703 18464.39673097846 12361.740939238212 14635.389985421521 15007.054245718093 18913.39127999967 18355.755341922188 9258.939304022275 8371.461205277634 8704.793139496358 9385.184865650699 
circuit_13_pcb442 circuit_13_pcb442_r9_#0 7586.722118291422 8457.709494114699 8299.220509850693 12525.488480593558 13033.380169212192 13065.200409974757 13054.875872884866 8225.840396851254 7601.808869827432 7746.432900180597 8230.561293525421 
circuit_13_pcb442 circuit_13_pcb442_t9_#0 7615.290416656913 8573.497098677872 10058.460138024984 12729.384901328098 12832.835900608836 13158.876700224815 13056.440340615794 8349.643745311867 7656.615329547528 7747.851184218549 8161.128950767358 
city_5_ali535_l city_5_ali535_l 302.9731122062501 357.77252108886717 302.9731122062501 709.7724856092605 302.9731122062501 571.6666123497217 622.1949064522345 354.3193435207142 310.1461759492832 322.9224856842611 376.4788978807031 
city_5_ali535_l city_5_ali535_l_r1_#0 302.8466548760662 325.14364240316416 325.14364240316416 534.1509250034509 325.75073805293425 649.8060561727505 604.7143286779876 355.4348794169897 314.2103781588715 317.7032066639244 388.77035742432525 
city_5_ali535_l city_5_ali535_l_t1_#0 301.73474449724625 324.82980773257896 324.82980773257896 367.2817279755271 333.96652782053724 528.7824506537075 554.6825018514484 367.60259362355265 312.91748476834016 314.7888336768527 352.0109123199361 
city_5_ali535_l city_5_ali535_l_r2_#0 293.6823103298227 331.2483612454298 334.70556793745754 421.85907693510836 468.35364912657053 576.1134587072318 608.8345135955147 352.91159987703617 302.990211711196 331.398187071665 345.9750184835052 
city_5_ali535_l city_5_ali535_l_t2_#0 294.677764671608 345.0362313939185 355.1169249859477 413.19880469417564 470.2928159487113 582.4700634073652 595.506066540651 353.2791403825132 306.2610260445253 314.0852899147861 341.27295208112145 
city_5_ali535_l city_5_ali535_l_r3_#0 295.0143801755482 352.5620401888011 377.3861669134366 545.9059600859935 436.0295093097074 416.57931528182786 709.5011046711402 350.8069756682696 305.0806421167966 307.54732901674845 303.50363467447664 
city_5_ali535_l city_5_ali535_l_t3_#0 295.3946177371623 379.11681599299027 379.11681599299027 637.5882123420006 435.0579814318197 689.6799859707519 590.640054609905 364.8634158322695 305.8402129436768 299.65238471375767 349.825607274649 
city_5_ali535_l city_5_ali535_l_r4_#0 280.06179165421264 406.9301872090951 441.1054832443177 499.50333830033134 461.08755395848027 592.2989404888935 503.3006512929497 343.83888480682066 286.4865680743941 288.4457728714316 315.9831316531878 
