Inst_a,Inst_b,Distance
seed3,seed3_t5_#0,-0.9617481625618554
seed3,seed3_t5_#0,-0.9916459189172628
seed3,seed3_t5_#0,-1.0330315601270357
seed3,seed3_r5_#1,-0.9392088447069996
seed3,seed3_r5_#1,-0.9759319011951573
seed3,seed3_r5_#1,-0.9289549242731856
seed3,seed3_t5_#1,-0.9835780972724362
seed3,seed3_t5_#1,-0.9369013830550013
seed3,seed3_t5_#1,-1.003634470063624
seed3,seed3_r5_#2,-0.8677816378033143
seed3,seed3_r5_#2,-0.9002730506289107
seed3,seed3_r5_#2,-0.9812886388815212
seed3,seed3_t5_#2,-1.0053133773239022
seed3,seed3_t5_#2,-1.0258218733967372
seed3,seed3_t5_#2,-0.9987236041291667
seed3,seed3_r6_#0,-0.9766311034354891
seed3,seed3_r6_#0,-0.9333435349896262
seed3,seed3_r6_#0,-0.9762999723296406
seed3,seed3_t6_#0,-0.9400828658815124
seed3,seed3_t6_#0,-0.9655038163256553
seed3,seed3_t6_#0,-0.9480286988942133
seed3,seed3_r6_#1,-0.935359986200113
seed3,seed3_r6_#1,-0.8577553881228418
seed3,seed3_r6_#1,-0.9395619598576599
seed3,seed3_t6_#1,-0.9282448351525912
seed3,seed3_t6_#1,-0.9495025031368277
seed3,seed3_t6_#1,-0.9915211662652512
seed3,seed3_r6_#2,-0.9075846778348714
seed3,seed3_r6_#2,-0.9029413218861136
seed3,seed3_r6_#2,-0.9669443618039968
seed3,seed3_t6_#2,-0.9890158780212739
seed3,seed3_t6_#2,-0.9688695183463552
seed3,seed3_t6_#2,-0.9970086469359575
seed3,seed3_r7_#0,-0.9015608935344276
seed3,seed3_r7_#0,-0.9281002737936918
seed3,seed3_r7_#0,-0.9678477976522921
seed3,seed3_t7_#0,-0.960270399697922
seed3,seed3_t7_#0,-1.0230364772177487
seed3,seed3_t7_#0,-0.9189329056731372
seed3,seed3_r7_#1,-0.8401261475598104
seed3,seed3_r7_#1,-0.9212941626148681
seed3,seed3_r7_#1,-0.8607489474548911
seed3,seed3_t7_#1,-0.9761783394485245
