Inst_a,Inst_b,Distance
seed3,seed3_t4_#0,0.007350400624497932
seed3,seed3_r4_#1,0.015337286277106208
seed3,seed3_r4_#1,0.00811269129029593
seed3,seed3_r4_#1,0.013296020807746462
seed3,seed3_t4_#1,0.013499924832053225
seed3,seed3_t4_#1,0.009077775909517301
seed3,seed3_t4_#1,0.003589999038110672
seed3,seed3_r4_#2,0.030154125423094983
seed3,seed3_r4_#2,0.025145989207725553
seed3,seed3_r4_#2,0.011797338950356588
seed3,seed3_t4_#2,0.008233902660055827
seed3,seed3_t4_#2,0.005328984137462836
seed3,seed3_t4_#2,0.007351725939306327
seed3,seed3_r5_#0,0.011979955885882944
seed3,seed3_r5_#0,0.014865600764405405
seed3,seed3_r5_#0,0.013553433779045491
seed3,seed3_t5_#0,0.006701609181048094
seed3,seed3_t5_#0,0.005563268902331988
seed3,seed3_t5_#0,0.0038124233682641407
seed3,seed3_r5_#1,0.011484169735311371
seed3,seed3_r5_#1,0.014481604444923506
seed3,seed3_r5_#1,0.00948679438226356
seed3,seed3_t5_#1,0.005587522440573741
seed3,seed3_t5_#1,0.009794386625622238
seed3,seed3_t5_#1,0.006180717283939653
seed3,seed3_r5_#2,0.016552970095402242
seed3,seed3_r5_#2,0.030201467474371177
seed3,seed3_r5_#2,0.01870083872787633
seed3,seed3_t5_#2,0.04440528674874135
seed3,seed3_t5_#2,0.008227094599727263
seed3,seed3_t5_#2,0.0104571978062635
seed3,seed3_r6_#0,0.011924411018742205
seed3,seed3_r6_#0,0.01194533085226882
seed3,seed3_r6_#0,0.009211949527132099
seed3,seed3_t6_#0,0.009736754681242741
seed3,seed3_t6_#0,0.021391573639485063
seed3,seed3_t6_#0,0.009085762925807997
seed3,seed3_r6_#1,0.00880726768968398
seed3,seed3_r6_#1,0.010759560091004518
seed3,seed3_r6_#1,0.009590983923708352
seed3,seed3_t6_#1,0.009748856059345282
seed3,seed3_t6_#1,0.00914756814282898
seed3,seed3_t6_#1,0.008412105232201006
seed3,seed3_r6_#2,0.016820737212138476
seed3,seed3_r6_#2,0.018121186700939578
seed3,seed3_r6_#2,0.013718449002797539
seed3,seed3_t6_#2,0.024197324033065164
seed3,seed3_t6_#2,0.005486111782540256
seed3,seed3_t6_#2,0.005958327476852553
seed3,seed3_r7_#0,0.018492454732729816
seed3,seed3_r7_#0,0.012303378842203646
seed3,seed3_r7_#0,0.017580764096916515
seed3,seed3_t7_#0,0.012090609610260691
seed3,seed3_t7_#0,0.016396182657356758
seed3,seed3_t7_#0,0.012708131697726936
seed3,seed3_r7_#1,0.014628606567032368
seed3,seed3_r7_#1,0.014000036269579387
seed3,seed3_r7_#1,0.014441849690697664
seed3,seed3_t7_#1,0.02510018280588046
seed3,seed3_t7_#1,0.009096147481453936
seed3,seed3_t7_#1,0.007950978999115973
seed3,seed3_r7_#2,0.018728097874961346
seed3,seed3_r7_#2,0.014613924258216258
seed3,seed3_r7_#2,0.016035164299006508
seed3,seed3_t7_#2,0.017003045517618092
seed3,seed3_t7_#2,0.007773208013768398
seed3,seed3_t7_#2,0.007809008318401304
seed3,seed3_r8_#0,0.009649404347899798
seed3,seed3_r8_#0,0.022514880405994725
seed3,seed3_r8_#0,0.0124801468101121
seed3,seed3_t8_#0,0.013671523696359019
seed3,seed3_t8_#0,0.013082642120204173
seed3,seed3_t8_#0,0.01073708651574137
seed3,seed3_r8_#1,0.02675978722674253
seed3,seed3_r8_#1,0.019086584361545228
seed3,seed3_r8_#1,0.018721404110520257
seed3,seed3_t8_#1,0.013076674148966827
seed3,seed3_t8_#1,0.009861571539576957
seed3,seed3_t8_#1,0.009105430628668594
seed3,seed3_r8_#2,0.007496002807122652
seed3,seed3_r8_#2,0.01433138977114149
seed3,seed3_r8_#2,0.008340449203765473
seed3,seed3_t8_#2,0.010917521995266957
seed3,seed3_t8_#2,0.009680064039746234
seed3,seed3_t8_#2,0.007375073959370177
seed3,seed3_r9_#0,0.016392781868063616
seed3,seed3_r9_#0,0.01914356517376345
seed3,seed3_r9_#0,0.01423784246203099
seed3,seed3_t9_#0,0.018938439067272828
seed3,seed3_t9_#0,0.008990095126561123
seed3,seed3_t9_#0,0.008415342774962404
seed3,seed3_r9_#1,0.0144040737901691
seed3,seed3_r9_#1,0.015385959384695676
seed3,seed3_r9_#1,0.011671090739203598
seed3,seed3_t9_#1,0.008458970013362717
seed3,seed3_t9_#1,0.013594393758381909
seed3,seed3_t9_#1,0.008015186038116528
seed3,seed3_r9_#2,0.008613178968630876
seed3,seed3_r9_#2,0.011259384816083882
seed3,seed3_r9_#2,0.014508205941174343
seed3,seed3_t9_#2,0.005890552727322768
seed3,seed3_t9_#2,0.008035784330257412
seed3,seed3_t9_#2,0.008632387904253582
seed3,seed4_r1_#0,0.013145666612534348
seed3,seed4_r1_#0,0.011396816824876557
seed3,seed4_r1_#0,0.009747447840318706
seed3,seed4_r1_#1,0.014746308977191216
seed3,seed4_r1_#1,0.013058136420013468
seed3,seed4_r1_#1,0.015957215601836067
seed3,seed4_r1_#2,0.016389407268582793
seed3,seed4_r1_#2,0.012877994724261592
seed3,seed4_r1_#2,0.015062799541624379
seed3,seed2_r1_#0,0.015831629306865797
seed3,seed2_r1_#0,0.011152103488572733
seed3,seed2_r1_#0,0.018557792182740947
seed3,seed2_r1_#1,0.01044828602846163
seed3,seed2_r1_#1,0.013237366832568669
seed3,seed2_r1_#1,0.010087062813850505
seed3,seed2_r1_#2,0.017231863317262574
seed3,seed2_r1_#2,0.013227772481759685
seed3,seed2_r1_#2,0.032196420810153524
seed3,berlin52-2_r1_#0,0.023769163547947104
seed3,berlin52-2_r1_#0,0.009641593697951499
seed3,berlin52-2_r1_#0,0.015077972784228864
seed3,berlin52-2_r1_#1,0.012990694415507993
seed3,berlin52-2_r1_#1,0.017037136236423313
seed3,berlin52-2_r1_#1,0.015268937033999248
seed3,berlin52-2_r1_#2,0.02019784136987056
seed3,berlin52-2_r1_#2,0.015505872799941391
seed3,berlin52-2_r1_#2,0.010116756803893153
seed3,eil51-1_r1_#0,0.013297853588262389
seed3,eil51-1_r1_#0,0.01859913431947277
seed3,eil51-1_r1_#0,0.023100687704780357
seed3,eil51-1_r1_#1,0.013624896331482887
seed3,eil51-1_r1_#1,0.016048163754707377
seed3,eil51-1_r1_#1,0.011717683032754687
seed3,eil51-1_r1_#2,0.010393743307514018
seed3,eil51-1_r1_#2,0.014108362781007104
seed3,eil51-1_r1_#2,0.01677932849727608
seed3,seed0_r1_#0,0.013602013598103015
seed3,seed0_r1_#0,0.014506009304838858
seed3,seed0_r1_#0,0.012674193460489473
seed3,seed0_r1_#1,0.018205425699079406
seed3,seed0_r1_#1,0.021175815161865636
seed3,seed0_r1_#1,0.01337773669813081
seed3,seed0_r1_#2,0.01706236548888669
seed3,seed0_r1_#2,0.016875916868738728
seed3,seed0_r1_#2,0.023762214083996883
seed3,seed1_r1_#0,0.02167972712716425
seed3,seed1_r1_#0,0.013046538269274181
seed3,seed1_r1_#0,0.008406876223357042
seed3,seed1_r1_#1,0.014792518577097407
seed3,seed1_r1_#1,0.01004556210797556
seed3,seed1_r1_#1,0.012944719443163428
seed3,seed1_r1_#2,0.025850992144458015
seed3,seed1_r1_#2,0.030303915056341266
seed3,seed1_r1_#2,0.01265899928093064
seed4,seed3_r1_#0,0.010065565315751786
seed4,seed3_r1_#0,0.032946690061167044
seed4,seed3_r1_#0,0.011706863620344557
seed4,seed3_r1_#1,0.006955042021101751
seed4,seed3_r1_#1,0.019811665115934882
seed4,seed3_r1_#1,0.014170294901553172
seed4,seed3_r1_#2,0.015499142830903619
seed4,seed3_r1_#2,0.025716166627468527
seed4,seed3_r1_#2,0.015183803727937963
